,osmid,y,x,highway,street_count,row,column,land_price,pop,private_cs,I1_max,upper_bound
495,11201648616,21.0138554,105.8271703,,3,None,None,39.251375,97.741,0.0,63,0.01605039313909385
496,8823759132,21.0135822,105.8288915,,1,None,None,27.404125,197.539,0.0,54,0.0197050626502397
497,10130533935,21.006939,105.8296986,,3,None,None,39.251375,67.92,0.0,44,0.0112097983828592
498,1314209713,21.0259561,105.8333085,,4,None,None,171.09425,213.213,0.0,41,0.002396340028960646
499,1652403205,21.0280593,105.8334156,,4,None,None,171.09425,92.242,0.0,37,0.0021625507578425344
500,317968694,21.0262479,105.8335221,,3,None,None,89.758875,109.688,0.0,40,0.0044563838394810545
501,1314209697,21.0277474,105.8341305,,4,None,None,171.09425,92.242,0.0,40,0.002337892711181118
502,2592290239,21.0259305,105.8333798,,3,None,None,89.758875,109.688,0.0,40,0.0044563838394810545
503,5703585010,21.0268477,105.8338027,,3,None,None,89.758875,442.696,0.0,41,0.00456779343546808
504,5703585013,21.0259824,105.8342146,,3,None,None,89.758875,430.258,0.0,40,0.0044563838394810545
505,12215533506,21.0266555,105.8336277,,3,None,None,89.758875,109.688,0.0,40,0.0044563838394810545
506,12215533507,21.0266253,105.8336972,,3,None,None,89.758875,109.688,0.0,40,0.0044563838394810545
507,317968700,21.0262411,105.832603,,3,None,None,89.758875,213.213,0.0,39,0.004344974243494028
508,317968749,21.0265264,105.8318917,,3,None,None,89.758875,386.395,0.0,45,0.0050134318194161856
509,317968698,21.0270872,105.8304924,,1,None,None,60.379125,430.488,0.0,49,0.00811538756151236
510,1652403204,21.0283721,105.8326331,,4,None,None,171.09425,178.308,0.0,36,0.0021041034400630064
511,81804025,21.0277521,105.8342281,,5,None,None,171.09425,100.061,0.0,41,0.002396340028960646
512,5707407590,21.0086391,105.8144074,,3,None,None,88.131333,23.466,0.0,32,0.0036309447401640916
513,5707407591,21.0087249,105.8144908,,4,None,None,165.313,23.466,0.0,32,0.0019357219335442465
514,6405730789,21.0096905,105.8154172,,3,None,None,88.131333,206.69,0.0,39,0.004425213902074987
515,6662241086,21.0105436,105.8159375,,3,None,None,88.131333,223.511,0.0,43,0.0048790819945954975
516,6662241087,21.0104471,105.8160708,,3,None,None,88.131333,223.511,0.0,41,0.004652147948335242
517,6670444529,21.0061894,105.816321,,3,None,None,88.131333,76.139,0.0,25,0.0028366755782531965
518,6670444530,21.0062468,105.8164237,,3,None,None,88.131333,76.139,0.0,26,0.0029501426013833244
519,6685434573,21.0098977,105.8156305,,3,None,None,88.131333,206.69,0.0,38,0.004311746878944859
520,6685434580,21.0084703,105.8152697,,4,None,None,165.313,441.882,0.0,25,0.0015122827605814427
521,1905162489,21.0081672,105.8149733,,3,None,None,88.131333,80.998,0.0,25,0.0028366755782531965
522,1494035975,21.0139064,105.8149299,,3,None,None,88.131333,259.365,0.0,62,0.007034955434067927
523,420456683,21.005215,105.8169541,,4,None,None,165.313,147.441,0.0,28,0.001693756691851216
524,2452431996,21.0119342,105.8172506,,4,None,None,165.313,57.82,0.0,49,0.0029640742107396273
525,1494041366,21.0044283,105.818031,,3,None,None,88.131333,121.129,0.0,30,0.0034040106939038353
526,1904449336,21.0100776,105.8187493,,3,None,None,88.131333,468.3,0.0,32,0.0036309447401640916
527,1495023371,21.008217,105.8203154,,3,None,None,88.131333,410.201,0.0,44,0.004992549017725625
528,12513272957,21.0078249,105.8152738,,3,None,None,88.131333,104.173,0.0,23,0.0026097415319929406
529,10100966682,21.0077986,105.8153637,crossing,2,None,None,67.449333,104.173,0.0,24,0.0035582264393926623
530,12513272960,21.0076719,105.8153995,,3,None,None,88.131333,104.173,0.0,23,0.0026097415319929406
531,5707161153,21.0189405,105.8301839,,5,None,None,193.89,65.19,0.0,47,0.0024240548764763526
532,5707161151,21.0191753,105.830871,,3,None,None,100.036,441.917,0.0,45,0.004498380582990124
533,442982542,21.0193064,105.8338068,,3,None,None,100.036,448.35,0.0,40,0.0039985605182134435
534,81806535,21.01906,105.8305102,,3,None,None,100.036,65.19,0.0,43,0.0042984525570794515
535,1758633098,21.0080473,105.8238278,,3,None,None,82.267333,61.008,0.0,44,0.005348416971290415
536,1758633108,21.0082462,105.8238515,,3,None,None,82.267333,61.008,0.0,43,0.005226862040124724
