node_id,matrix_idx,lat,lng,street_count
1497969539,210,21.0080304,105.8354258,1
1497969550,211,21.0083741,105.83625,3
1497969556,212,21.009495,105.8352194,3
1497969562,213,21.0120401,105.8363468,3
1497969787,214,21.0030394,105.8412283,3
1497969866,215,21.0036744,105.8370455,3
1497970355,216,21.0075279,105.8327433,3
1497970357,217,21.0086164,105.8341507,3
1497970367,218,21.0113025,105.8367718,3
1497970369,219,21.0115174,105.8368332,3
1497970370,220,21.0112582,105.8370685,4
1498038039,221,21.0294161,105.8013826,3
1498111685,222,21.0159892,105.8053094,3
1498111702,223,21.0165963,105.8063072,3
1613087588,224,21.0151535,105.8092376,3
1613087620,225,21.016443,105.8149631,4
1613087622,226,21.016528,105.81478,4
1652403204,227,21.0283721,105.8326331,4
1652403205,228,21.0280593,105.8334156,4
1692799412,229,21.0200784,105.8214966,3
1692799415,230,21.0227691,105.8219413,2
1692799416,231,21.0215582,105.8222221,2
1692799418,232,21.0230519,105.8212979,3
1692799423,233,21.0190995,105.8210503,3
1707850226,234,21.014199,105.834042,4
1730089641,235,21.0196086,105.8110631,4
1730111756,236,21.0187066,105.8105688,3
1753888594,237,21.0118709,105.8282054,3
1753888595,238,21.0125027,105.8285938,3
1753897154,239,21.0152724,105.8274129,1
1753897155,240,21.01633,105.8266047,3
1755146759,241,21.0075596,105.8413008,4
1755146806,242,21.0078352,105.8412933,4
1755146859,243,21.0083362,105.8412842,3
1758629824,244,21.0061473,105.8311916,4
1758631175,245,21.0093907,105.8243473,4
1758633098,246,21.0080473,105.8238278,3
1758633108,247,21.0082462,105.8238515,3
1758633112,248,21.0102866,105.8249263,3
1758644520,249,21.0041199,105.8255086,3
1878921396,250,21.0028361,105.81961,3
1878932244,251,21.0043221,105.8179006,3
1884765797,252,21.0073278,105.8287027,3
1884765798,253,21.008971,105.8247865,3
1884765802,254,21.0061784,105.8311035,4
1884765806,255,21.0091334,105.8244253,4
1884767494,256,21.0076605,105.8279926,3
1884768305,257,21.0094475,105.8239568,3
1884769977,258,21.0097478,105.8245423,3
1884769979,259,21.0095664,105.8239771,3
1884774052,260,21.0160122,105.8157537,3
1884776799,261,21.016992,105.8289753,3
1884807237,262,21.0008729,105.84123,3
1887748894,263,21.0017879,105.8182251,3
1904335857,264,21.0149024,105.8090202,1
1904342334,265,21.0176949,105.8260288,1
1904353550,266,21.0178042,105.8294371,4
1904360482,267,21.0191646,105.8247558,4
1904395858,268,21.0041204,105.8303312,4
1904395860,269,21.0040287,105.8322107,1
1904398535,270,21.0090684,105.8324531,3
1904398545,271,21.0103229,105.8310199,3
1904398547,272,21.0098374,105.8321006,4
1904398563,273,21.0095462,105.8313437,3
1904449332,274,21.0105284,105.8193044,3
1904449333,275,21.0104184,105.8194013,3
1904449336,276,21.0100776,105.8187493,3
1905105367,277,21.0159316,105.8118039,3
1905105369,278,21.0161553,105.8119473,3
1905105370,279,21.016403,105.8121068,3
1905105371,280,21.0164115,105.8114815,4
1905105373,281,21.0166467,105.8122637,3
1905105374,282,21.01675,105.8123302,3
1905105376,283,21.0169169,105.8117961,4
1905105377,284,21.0170233,105.8118597,4
1905105378,285,21.01718,105.8115808,3
1905105380,286,21.0172195,105.811261,3
1905132982,287,21.0168668,105.8121275,4
1905132985,288,21.0170381,105.812874,3
1905132987,289,21.0172883,105.8124091,4
1905132989,290,21.0174464,105.8125055,3
1905157877,291,21.005915,105.8327861,4
1905157902,292,21.0070954,105.8363268,1
1905157910,293,21.0078461,105.8356008,3
1905157916,294,21.009048,105.8366884,1
1905162489,295,21.0081672,105.8149733,3
2049328002,296,21.0200294,105.8229064,3
2049328017,297,21.0195172,105.8241324,3
2050902820,298,21.0211503,105.8259781,4
2050902827,299,21.024139,105.8270572,3
2050902830,300,21.0220651,105.8263876,3
2050902832,301,21.0231269,105.8266383,3
2050902833,302,21.0230936,105.8267657,3
2050902835,303,21.0252373,105.8272089,3
2050902836,304,21.0251872,105.827367,3
2053894358,305,21.0251753,105.8218932,3
2084132002,306,21.0157267,105.8053895,3
2105151535,307,21.0240979,105.8304305,4
2105151537,308,21.0242185,105.830373,1
2105151547,309,21.0244109,105.830584,1
2105175520,310,21.0232128,105.8291791,1
2105175530,311,21.0239736,105.8291369,1
2105175602,312,21.0290504,105.8299453,2
2174649887,313,21.0203672,105.8255429,3
2174649904,314,21.0164074,105.8232829,4
2174649908,315,21.0191072,105.824898,4
2174649932,316,21.0182561,105.824457,3
2174649940,317,21.0171907,105.8238769,3
2174649945,318,21.0179336,105.8242829,3
2174649960,319,21.0152392,105.8202578,4
2175126932,320,21.0112484,105.8114271,3
2175126939,321,21.0113462,105.8112917,3
